id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93
131839,8.814907619533301e-10,1.984210451536992e-12,3.305971958632548e-11,2.9885783367070396e-9,2.2446828972732018e-10,3.805192912710589e-6,5.850566647529908e-7,1.424952854631381e-4,0.9998531103353782,0,0,4,9,0,0,0,0,0,0,6,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,5,0,0,1,0,0,2,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0
141681,3.344960030970215e-11,1.0947164261151454e-11,4.5688836407111155e-11,4.520677951208943e-13,1.8955005131571103e-11,5.059786537091681e-9,4.990458421064845e-7,1.9378189273126753e-5,0.9999801175956057,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,0,34,1,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101043,1.5398067402214544e-10,4.4127929455268655e-11,1.684320307548858e-10,1.9625785644050374e-10,1.4618933952077058e-9,4.4087651812678835e-8,5.698955324216404e-6,1.1975120666479201e-4,0.9998745037256673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143944,6.082333173985193e-11,4.854953285880747e-12,1.7991596244000073e-9,1.486792243180763e-7,1.037148648729726e-9,2.1796426314890658e-8,2.873205760306641e-6,1.2775703647022432e-4,0.9998691963801323,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
71981,4.9940245651564756e-11,4.127830326620147e-11,1.0037556083201554e-10,5.229729743107517e-8,1.305577298053049e-9,3.326641516410034e-8,6.323515910026193e-7,4.988197207670441e-5,0.9999493986154484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
25973,1.4394950205093152e-5,3.023206681115151e-8,6.929011257777968e-4,0.02968098766886805,0.9695479993643972,1.0297075803581272e-5,2.6053211774845076e-5,1.5584040948070474e-5,1.1752330158384785e-5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99756,7.085682041612855e-11,3.7441311630681356e-10,2.278135863482004e-9,5.624936416775926e-8,5.279058078043585e-10,2.5083974860925723e-8,3.997867626696393e-6,7.077414000126459e-5,0.9999251434077214,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84229,6.83355019193683e-11,2.7101130255534378e-11,9.704775649381601e-10,2.027128615848408e-9,4.585040202635435e-9,2.3852178046004035e-8,1.6235673501121183e-7,6.111951716028918e-5,0.9999386865958435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83205,3.898672414261727e-11,4.4352324077079234e-11,1.608230858436378e-9,3.411933659158717e-11,8.977726019412588e-11,1.912267095935409e-8,1.7260834416796112e-6,3.319593684658191e-5,0.9999650570415743,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,6,2,0,0,0,1,1,0,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
58368,2.3707780966611065e-10,2.341265908529158e-10,1.418609950113323e-9,1.1988978705939158e-9,1.9958742630374283e-9,5.832607644916717e-8,2.162389960049987e-6,5.31029617466027e-4,0.9994667445819109,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,0,0,2,0,0,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32164,3.3671960693730215e-4,0.0026741465818027024,0.0024577582375895045,1.4783040535627564e-4,5.6861372904952715e-5,0.9938334692529595,1.675090455179365e-4,1.2497362153630204e-4,2.0073187539582516e-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,11,5,0,0,1,0,0,0,8,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,6,11,1,1,2,0,0,5,0,0,3,1,0,0,0,0,0,1,0,1,31,1,0,2,0,0,0,0
127061,1.4090203772915873e-10,1.1310913025410683e-10,1.6841847832832736e-10,1.4623640580521296e-10,7.762300787289307e-10,1.952739268206006e-8,4.859753277139675e-6,2.0106783899831327e-4,0.9997940515354358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,26,3,0,0,1,0,1,4,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
58314,5.315113534169525e-10,1.1252823992902443e-10,1.5235283579265324e-9,1.561540773660154e-8,5.0141224044096895e-9,3.6940979836378646e-8,1.6193586570743877e-5,2.878794688750864e-4,0.9996958672064762,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135891,1.5398025818984046e-10,3.3690930073087116e-11,1.6843157589598854e-10,1.3086271302758642e-11,6.624742095293377e-10,2.1653018925403587e-7,8.22803897405174e-6,1.197508832708297e-4,0.9998718035159025,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
135261,5.852112657240803e-10,4.716422178811789e-12,1.0268372252277919e-10,1.9257733170013975e-8,9.144755343617621e-5,9.50078085539918e-8,5.100899986918544e-8,9.397424430862272e-5,0.9998144122351021,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
57498,2.8066051351312213e-10,1.1071952114498377e-9,1.366414648890392e-8,5.449035191637627e-8,5.949426259271567e-9,6.713996509170561e-8,8.43301275962335e-6,2.2180948735851008e-4,0.9997696148681364,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
